Nombre del club,País,Ciudad,Año de la proyección,Mes de la proyección ,Día de la proyección,Título en español,Título original,Director,Año de producción,País de producción,Corto/largometraje,Ciclo,Lugar de proyección,"Tipo de proyección (repetiticiones, fragmentoos)",Procedencia,Otras notes
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Masa y dinamita,Dough and Dynamite,Charles Chaplin,1914,Estados Unidos,corto,Films de Charles S. Chaplin,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Carlitos inmigrante,The Immigrant,Charles Chaplin,1917,Estados Unidos,corto,Films de Charles S. Chaplin,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Carlitos aventurero,The Adventurer,Charles Chaplin,1917,Estados Unidos,corto,Films de Charles S. Chaplin,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Armas al hombro,Shoulder Arms,Charles Chaplin,1918,Estados Unidos,corto,Films de Charles S. Chaplin,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Corresponsal extranjero,Foreign Correspondent,Alfred Hitchcock,1940,Estados Unidos,largometraje,Un film de Alfred Hitchcock,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Pintura moderna en los Estados Unidos,Art Discovers America,,1943,Estados Unidos,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Maillol,Jean Lods,1946,Francia,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Henri Matisse,François Campaux,1946,Francia,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Pintura abstracta,Painting in Abstraction,Elliot O'Hara,1946,Estados Unidos,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Alexander Calder: Sculptures and Constructions,Irving Hartley,1948,Estados Unidos,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Van Gogh,Alain Resnais,1948,Francia,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Gaugin,Alain Resnais,1950,Francia,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El affaire Manet,L'Affaire Manet,Jean Aurel,1951,Francia,corto,El film de arte,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La peste alada,Winged Scourge,Walt Disney,1945,Estados Unidos,corto,Dibujos y muñecos animados,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Canción de Navidad,Christmas Carols,Leslie Bell,1947,Canadá,corto,Dibujos y muñecos animados,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Vamos a la feria,Come to the Fair,Art Price,1949,Canadá,corto,Dibujos y muñecos animados,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La romántica historia del transporte canadiense,The Romance of Transportation in Canadá,C. Low,1952,Canadá,corto,Dibujos y muñecos animados,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El hombre en la tierra,Man on the Land,Bill Hurts,1953,Estados Unidos,corto,Dibujos y muñecos animados,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Las damas del bosque de Boloña,Les dames du Bois de Boulogne,Robert Bresson,1944,Francia,largometraje,Cuatro realizadores: Francia,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Silvia y el fantasma,Sylvie et le fantôme,Claude Autant-Lara,1946,Francia,largometraje,Cuatro realizadores: Francia,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Bim,Albert Lamorisse,1949,Francia,largometraje,Cuatro realizadores: Francia,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Orphée,Jean Cocteau,1950,Francia,largometraje,Cuatro realizadores: Francia,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El nacimiento del cine,La naissance du cinéma,Roger Leenhardt,1945,Francia,largometraje,El cine cuenta su historia,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,…Y ahora Miguel,…And now Miguel…,Joseph Krumgold,1952,Estados Unidos,largometraje,Un documental norteamericano,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Puntos,Dots,Norman McLaren,1940,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Rizos,Loops,Norman McLaren,1940,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Boogie-Doodle,Norman McLaren,1941,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Hen Hop,Norman McLaren,1942,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Percusión a punta de pluma,Pen point percussion,Norman McLaren,1946,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Hoppity Hop,Norman McLaren,1946,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La gallinita gris,Poulette grise,Norman McLaren,1947,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Fiddle-De-Dee,Norman McLaren,1947,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Dos bagatelas,Two Bagatelles,Norman McLaren,1949,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Begone Dull Care,Norman McLaren,1950,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Los trabajos de Calder,Works of Calder,Herbert Matter,1950,Estados Unidos,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Vecinos,Neighbours,Norman McLaren,1952,Canadá,corto,Cine experimental,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El nacimiento del cine,La naissance du cinéma,Roger Leenhardt,1945,Francia,largometraje,El cine cumple 60 años,,repetición,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,,Lumière,Paul Paviot,1953,Francia,corto,El cine cumple 60 años,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El hombre de la cabeza de caucho,L'homme a la tête de caoutchouc,Georges Méliès,1901,Francia,corto,Evocación de Georges Méliès,,,,
Cine Club Núcleo,Argentina,Buenos Aires,1955,,,El reino de las hadas,Le royaume des fées,Georges Méliès,1903,Francia,corto,Evocación de Georges Méliès,,,,
