Name,Country,City,Screening Date - Year,Screening Date - Month,Screening Date - Day,Local Release Title,Original Release Title,US Release Title or English Translation,Director,Year of Production,Country of Production,Duration,Series Theme,Nature of Screening,Provenance of Print,Other Notes
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Masa y dinamita,Dough and Dynamite,,Charles Chaplin,1914,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Carlitos inmigrante,The Immigrant,,Charles Chaplin,1917,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Carlitos aventurero,The Adventurer,,Charles Chaplin,1917,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Armas al hombro,Shoulder Arms,,Charles Chaplin,1918,United States,short,Films de Charles S. Chaplin,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Corresponsal extranjero,Foreign Correspondent,,Alfred Hitchcock,1940,United States,feature,Un film de Alfred Hitchcock,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Pintura moderna en los Estados Unidos,Art Discovers America,,,1943,United States,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Maillol,,Jean Lods,1946,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Henri Matisse,,François Campaux,1946,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Pintura abstracta,Painting in Abstraction,,Elliot O'Hara,1946,United States,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Alexander Calder: Sculptures and Constructions,,Irving Hartley,1948,United States,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Van Gogh,,Alain Resnais,1948,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,,Gaugin,,Alain Resnais,1950,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El affaire Manet,L'Affaire Manet,,Jean Aurel,1951,France,short,El film de arte,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La peste alada,Winged Scourge,,Walt Disney,1945,United States,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Canción de Navidad,Christmas Carols,,Leslie Bell,1947,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Vamos a la feria,Come to the Fair,,Art Price,1949,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,La romántica historia del transporte canadiense,The Romance of Transportation in Canada,,C. Low,1952,Canada,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,El hombre en la tierra,Man on the Land,,Bill Hurts,1953,United States,short,Dibujos y muñecos animados,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Las damas del bosque de Boloña,Les dames du Bois de Boulogne,,Robert Bresson,1944,France,feature,Cuatro realizadores: Francia,,,
Cine Club Núcleo,Argentina,Buenos Aires,1954,,,Silvia y el fantasma,Sylvie et le fantôme,,Claude Autant-Lara,1946,France,feature,Cuatro realizadores: Francia,,,
