Club Name,Location - Country,Location - City,Screening Date - Year,Screening Date - Month,Screening Date - Day,Local Release Title,Original Title,US Release Title or English Translation,Director,Year of Production,Country of Production,Duration,Series Theme,,Nature of Screening,Provenance of Print,Other Notes
Gente de Cine,Argentina,Buenos Aires,1942,June,6,Carlitos bombero,"Fireman, The","Fireman, The",Charles Chaplin,1916,United States,short,Cómicos americanos de la época muda,,,,
Gente de Cine,Argentina,Buenos Aires,1942,June,6,En el aserradero,"Sawmill, The","Sawmill, The",Larry Semon,1922,United States,short,Cómicos americanos de la época muda,,,,
Gente de Cine,Argentina,Buenos Aires,1942,June,6,La vampiresa del colegio,,,Mack Sennett?,1924,United States,short,Cómicos americanos de la época muda,,,,
Gente de Cine,Argentina,Buenos Aires,1942,June,6,Entre fantasmas,Haunted Spooks,Haunted Spooks,"Alfred G. Goulding, Hal Roach",1924,United States,short,Cómicos americanos de la época muda,,,,
Gente de Cine,Argentina,Buenos Aires,1942,June,6,Hermanos gemelos,Mama Behave,Mama Behave,Leo McCarey,1926,United States,short,Cómicos americanos de la época muda,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,En el país de Jauja,Hans Trutz in Schlaraffenland ,Hans Trutz in the Land of Plenty,Paul Wegener,1917,Germany,short,"Ernst Lubitsch, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,Bésame otra vez,Kiss Me Again,Kiss Me Again,Ernst Lubitsch,1925,United States,feature,"Ernst Lubitsch, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,Una hora contigo,One Hour with You,One Hour with You,Ernst Lubitsch,1932,United States,feature,"Ernst Lubitsch, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,Si yo tuviera un millón,If I Had a Million,If I Had a Million,Ernst Lubitsch,1932,United States,feature,"Ernst Lubitsch, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,Rumbos de vida,Design for Living,Design for Living,Ernst Lubitsch,1933,United States,feature,"Ernst Lubitsch, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,"Hermoso Brummel, El",Beau Brummel,Beau Brummel,Harry Beaumont,1924,United States,feature,Actores famosos - John Barrymore,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,"Enemigo público número 1, El","Public Enemy, The","Public Enemy, The",William Wellman,1931,United States,feature,10 años en la obra de John Ford,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,"Delator, El","Informer, The","Informer, The",John Ford,1935,United States,feature,10 años en la obra de John Ford,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,"María Estuardo, reina de Escocia",Mary of Scotland,Mary of Scotland,John Ford,1936,United States,feature,10 años en la obra de John Ford,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,Al redoblar de los tambores,Drums along the Mohawk,Drums along the Mohawk,John Ford,1939,United States,feature,10 años en la obra de John Ford,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,La diligencia,Stagecoach,Stagecoach,John Ford,1939,United States,feature,10 años en la obra de John Ford,,,,
Gente de Cine,Argentina,Buenos Aires,1942,,,Viñas de ira,Grapes of Wrath,Grapes of Wrath,John Ford,1940,United States,feature,10 años en la obra de John Ford,,,,
